I0330 19:47:50.263575 accounts/keystore/account_cache.go:228] reloaded keys, cache has 1 accounts
I0330 19:47:50.263650 accounts/keystore/watch.go:74] now watching /home/alex/.ethereum/testnet/keystore
I0330 19:47:50.264779 accounts/keystore/account_cache.go:228] reloaded keys, cache has 1 accounts
I0330 19:47:50.265258 ethdb/database.go:83] Allotted 128MB cache and 1024 file handles to /home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.490393 ethdb/database.go:176] closed db:/home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.492254 node/node.go:176] instance: Geth/v1.5.9-stable-a07539fb/linux/go1.7.3
I0330 19:47:50.492373 ethdb/database.go:83] Allotted 128MB cache and 1024 file handles to /home/alex/.ethereum/testnet/geth/chaindata
I0330 19:47:50.560817 core/state/statedb.go:455] (+) 000000000000000000000000000000000000001f
I0330 19:47:50.560855 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000e0
I0330 19:47:50.560895 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b2
I0330 19:47:50.560935 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000052
I0330 19:47:50.560980 core/state/statedb.go:455] (+) 000000000000000000000000000000000000008a
I0330 19:47:50.561022 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000b0
I0330 19:47:50.561063 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000038
I0330 19:47:50.561099 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000bf
I0330 19:47:50.561138 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000a3
I0330 19:47:50.561177 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000090
I0330 19:47:50.561215 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000020
I0330 19:47:50.561251 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ff
I0330 19:47:50.561288 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000be
I0330 19:47:50.561327 core/state/statedb.go:455] (+) 000000000000000000000000000000000000002c
I0330 19:47:50.561366 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000092
I0330 19:47:50.561402 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000030
I0330 19:47:50.561441 core/state/statedb.go:455] (+) 000000000000000000000000000000000000003e
I0330 19:47:50.561478 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000001
I0330 19:47:50.561509 core/state/state_object.go:257] 0000000000000000000000000000000000000001: #0 1 (+ 1)
I0330 19:47:50.561553 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000ed
I0330 19:47:50.561590 core/state/statedb.go:455] (+) 000000000000000000000000000000000000005c
I0330 19:47:50.561625 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c7
I0330 19:47:50.561662 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000039
I0330 19:47:50.561699 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000041
I0330 19:47:50.561737 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000057
I0330 19:47:50.561773 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000064
I0330 19:47:50.561808 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000097
I0330 19:47:50.561844 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000026
I0330 19:47:50.561882 core/state/statedb.go:455] (+) 000000000000000000000000000000000000001b
I0330 19:47:50.561918 core/state/statedb.go:455] (+) 000000000000000000000000000000000000009b
I0330 19:47:50.561956 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000085
I0330 19:47:50.562023 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000079
I0330 19:47:50.562062 core/state/statedb.go:455] (+) 000000000000000000000000000000000000002e
I0330 19:47:50.562099 core/state/statedb.go:455] (+) 000000000000000000000000000000000000001e
I0330 19:47:50.562137 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000046
I0330 19:47:50.562174 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000034
I0330 19:47:50.562209 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000f6
I0330 19:47:50.562248 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000040
I0330 19:47:50.562284 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000016
I0330 19:47:50.562320 core/state/statedb.go:455] (+) 000000000000000000000000000000000000003b
I0330 19:47:50.562356 core/state/statedb.go:455] (+) 000000000000000000000000000000000000006f
I0330 19:47:50.562394 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000086
I0330 19:47:50.562431 core/state/statedb.go:455] (+) 000000000000000000000000000000000000005f
I0330 19:47:50.562467 core/state/statedb.go:455] (+) 0000000000000000000000000000000000000073
I0330 19:47:50.562502 core/state/statedb.go:455] (+) 00000000000000000000000000000000000000c0
I0330 19:47:50.562540 core/state/statedb.go:455] (+) 000000000000000000000000000000000000000e
I0330 19:47:50.562578 core/state/statedb.go:455] (+) 000000000000000000000000000000000000006c
I0330 19:47:50.565158 core/state/statedb.go:605] Trie cache stats: 0 misses, 0 unloads
I0330 19:47:50.565470 core/genesis.go:95] Genesis block already in chain. Writing canonical number
I0330 19:47:50.565554 eth/backend.go:276] Successfully wrote custom genesis block: 41941023680923e0fe4d74a34bdac8141f2540e3ae90623718e47d66d1ca4a2d
I0330 19:47:50.565760 eth/backend.go:187] Protocol Versions: [63 62], Network Id: 3
I0330 19:47:50.565931 eth/backend.go:215] Chain config: {ChainID: 3 Homestead: 0 DAO: <nil> DAOSupport: true EIP150: 0 EIP155: 10 EIP158: 10}
I0330 19:47:50.566444 core/blockchain.go:219] Last header: #659132 [2fcdc545…] TD=463599456046965
I0330 19:47:50.566496 core/blockchain.go:220] Last block: #659132 [2fcdc545…] TD=463599456046965
